Holding_Ticker,Holding_Name,Total_Value,Held_By
UEC,URANIUM ENERGY CORP,955699270.8399999,"ESML, ITOT, ISCG, IWV, SMMD, ISCB, 铀矿核能ura, IGE, IWM, IWO, XME"
QBTS,D WAVE QUANTUM INC,337908380.04,"ESML, ITOT, ISCG, IWV, IGM, SMMD, IGV, xsw软件, ISCB, SMLF, IWM, IWO"
UEC,Uranium Energy Corp,245027365.79999998,"PRFZ, nlr铀和核能, OMFS"
NNE,NANO NUCLEAR ENERGY INC,114608965.5,"ITOT, IWC, ISCG, IWV, IWN, SMMD, ISCB, 铀矿核能ura, IWM, IWO"
QUBT,QUANTUM COMPUTING INC,89159280.0,"ITOT, ISCG, IWV, CHPXAI, AIQ, IGM, SMMD, ISCB, SMLF, IWM, IWO"
NNE,Nano Nuclear Energy Inc,86401592.55,nlr铀和核能
QS,QUANTUMSCAPE CORP CLASS A,39898671.54,"ESML, ITOT, ISCG, ISCV, IWV, IWB, IWS, IWD, SMMD, ISCB, IWR, SMLF, IYC"
QS,QuantumScape Corp,10733461.44,"EQAL, PBW, PRFZ, PBD"
QBTS,D-Wave Quantum Inc,8047762.33,PBW
QSI,QUANTUM SI INC CLASS A,7024933.3428,"ITOT, IWC, IBB, IWV, IWN, SMMD, IWM"
QS,QUANTUMSCAPE CORP,3719135.16,"DRIV, CTEC"
ARQQ,ARQIT QUANTUM INC,2737306.0,BUG
QS,Quantumscape Corp,920475.66,smog低碳能源
QSI,Quantum-Si Inc,390892.3758,"PRFZ, IBBQ"
QBTS,D-WAVE QUANTUM INC,306771.44,CHPXAI
QMCO,QUANTUM CORPORATION,259105.08,IWC
MGA CN,MEGA URANIUM LTD,0.0,铀矿核能ura
FM CN,FIRST QUANTUM MINERALS LTD,0.0,COPX
FM CN,First Quantum Minerals Ltd,0.0,emet铜和绿色金属
FUU CN,F3 URANIUM CORP,0.0,铀矿核能ura
FM,First Quantum Minerals Ltd,0.0,"PXF, IDMO"
CRQ,CREOTECH QUANTUM SA,0.0,EWX
CVV CN,CANALASKA URANIUM LTD,0.0,铀矿核能ura
EL8 AU,ELEVATE URANIUM LTD,0.0,铀矿核能ura
002366,RONGFA NUCLEAR EQUIPMENT C A,0.0,GXC
600167,LUENMEI QUANTUM CO LTD A,0.0,"EWX, GMF, GXC"
000881,CGN NUCLEAR TECHNOLOGY DEV A,0.0,GMF
601985,CHINA NATIONAL NUCLEAR POW A,0.0,GXC
QNTM LN,VanEck Quantum Computing Ucits ETF,0.0,node链上经济
U-U CN,SPROTT PHYSICAL URANIUM TR,0.0,铀矿核能ura
URC CN,URANIUM ROYALTY CORP,0.0,铀矿核能ura
WUC CN,WESTERN URANIUM & VANADIUM C,0.0,铀矿核能ura
